chinese|pinyin|spanish|category
匕|bǐ|cuchillo|Vocabulario PUCP  
又|yòu|de nuevo, también|Vocabulario PUCP  
贝|bèi|concha, cauri|Vocabulario PUCP  
玉|yù|jade|Vocabulario PUCP  
见|jiàn|ver|Vocabulario PUCP  
米|mǐ|arroz (crudo)|Vocabulario PUCP  
目|mù|ojo (antiguo)|Vocabulario PUCP  
心|xīn|corazón|Vocabulario PUCP  
上|shàng|arriba, sobre|Vocabulario PUCP  
云|yún|nube|Vocabulario PUCP  
王|wáng|rey, apellido Wang|Vocabulario PUCP  
同学|tóngxué|compañero de clase|Vocabulario PUCP  
面包|miànbāo|pan|Vocabulario PUCP  
汉堡包|hànbǎobāo|hamburguesa|Vocabulario PUCP  
比萨饼|bǐsàbǐng|pizza|Vocabulario PUCP  
中国|Zhōngguó|China|Vocabulario PUCP  
西班牙|Xībānyá|España|Vocabulario PUCP  
法国|Fǎguó|Francia|Vocabulario PUCP  
德国|Déguó|Alemania|Vocabulario PUCP  
加拿大|Jiānádà|Canadá|Vocabulario PUCP  
英国|Yīngguó|Reino Unido|Vocabulario PUCP  
澳大利亚|Àodàlìyà|Australia|Vocabulario PUCP  
俄罗斯|Éluósī|Rusia|Vocabulario PUCP  
日本|Rìběn|Japón|Vocabulario PUCP  
韩国|Hánguó|Corea del Sur|Vocabulario PUCP  
泰国|Tàiguó|Tailandia|Vocabulario PUCP  
印度|Yìndù|India|Vocabulario PUCP  
埃及|Āijí|Egipto|Vocabulario PUCP  
点心|diǎnxīn|dim sum, bocadillo|Vocabulario PUCP  
好吃|hǎochī|rico, sabroso|Vocabulario PUCP  
吃|chī|comer|Vocabulario PUCP  
爸爸|bàba|papá|Vocabulario PUCP  
喜欢|xǐhuan|gustar|Vocabulario PUCP  
和|hé|y (conjunción)|Vocabulario PUCP  
米饭|mǐfàn|arroz cocido|Vocabulario PUCP  
饭|fàn|comida|Vocabulario PUCP  
妈妈|māma|mamá|Vocabulario PUCP  
他|tā|él|Vocabulario PUCP  
面条儿|miàntiáor|fideos|Vocabulario PUCP  
饺子|jiǎozi|empanadillas chinas|Vocabulario PUCP  
包子|bāozi|bollo al vapor|Vocabulario PUCP  
大|dà|grande|Vocabulario PUCP  
小|xiǎo|pequeño|Vocabulario PUCP  
看|kàn|mirar|Vocabulario PUCP  
那|nà|ese/a|Vocabulario PUCP  
都|dōu|todo, ambos|Vocabulario PUCP  
要|yào|querer, necesitar|Vocabulario PUCP  
上海|Shànghǎi|Shanghái|Vocabulario PUCP  
王小云|Wáng Xiǎoyún|(nombre personal)|Vocabulario PUCP  
老师|lǎoshī|profesor/a|Vocabulario PUCP  
早上|zǎoshang|mañana (saludo)|Vocabulario PUCP  
早|zǎo|temprano|Vocabulario PUCP  
你们|nǐmen|vosotros|Vocabulario PUCP  
们|men|(sufijo plural)|Vocabulario PUCP  
这|zhè|este/a|Vocabulario PUCP  
是|shì|ser|Vocabulario PUCP  
朋友|péngyou|amigo/a|Vocabulario PUCP  
刚|gāng|recién, justo|Vocabulario PUCP  
到|dào|llegar|Vocabulario PUCP  
您|nín|usted (formal)|Vocabulario PUCP  
贵姓|guìxìng|¿Cuál es su apellido?|Vocabulario PUCP  
哪|nǎ|cuál|Vocabulario PUCP  
国|guó|país|Vocabulario PUCP  
人|rén|persona|Vocabulario PUCP  
学习|xuéxí|estudiar|Vocabulario PUCP  
学|xué|aprender|Vocabulario PUCP  
汉语|Hànyǔ|idioma chino|Vocabulario PUCP  
再见|zàijiàn|adiós|Vocabulario PUCP  
陈|Chén|apellido Chen|Vocabulario PUCP  
北京|Běijīng|Pekín|Vocabulario PUCP  
美国|Měiguó|Estados Unidos|Vocabulario PUCP  
力|lì|fuerza|Vocabulario PUCP  
生|shēng|nacer, vida|Vocabulario PUCP  
言|yán|hablar, palabra|Vocabulario PUCP  
人|rén|persona|Vocabulario PUCP  
木|mù|madera|Vocabulario PUCP  
羊|yáng|oveja|Vocabulario PUCP  
井|jǐng|pozo|Vocabulario PUCP  
土|tǔ|tierra|Vocabulario PUCP  
困|kùn|soñoliento|Vocabulario PUCP  
渴|kě|sediento|Vocabulario PUCP  
饿|è|hambriento|Vocabulario PUCP  
累|lèi|cansado|Vocabulario PUCP  
还行|háixíng|no está mal|Vocabulario PUCP  
马马虎虎|mǎmǎhūhū|más o menos|Vocabulario PUCP  
她|tā|ella|Vocabulario PUCP  
在|zài|estar (en un lugar)|Vocabulario PUCP  
吗|ma|(partícula interrogativa)|Vocabulario PUCP  
进|jìn|entrar|Vocabulario PUCP  
坐|zuò|sentarse|Vocabulario PUCP  
谢谢|xièxie|gracias|Vocabulario PUCP  
最近|zuìjìn|últimamente|Vocabulario PUCP  
怎么样|zěnmeyang|¿cómo está?|Vocabulario PUCP  
呢|ne|(partícula interrogativa)|Vocabulario PUCP  
忙|máng|ocupado|Vocabulario PUCP  
不|bù|no|Vocabulario PUCP  
他|tā|él|Vocabulario PUCP  
丁力波|Dīng Lìbō|(nombre personal)|Vocabulario PUCP  
林哪|Lín Nǎ|(nombre personal)|Vocabulario PUCP  
你|nǐ|tú|Vocabulario PUCP  
好|hǎo|hola, bueno|Vocabulario PUCP  
我|wǒ|yo|Vocabulario PUCP  
叫|jiào|llamarse|Vocabulario PUCP  
请问|qǐngwèn|por favor, preguntar|Vocabulario PUCP  
请|qǐng|por favor|Vocabulario PUCP  
问|wèn|preguntar|Vocabulario PUCP  
什么|shénme|qué|Vocabulario PUCP  
名字|míngzi|nombre|Vocabulario PUCP  
姓|xìng|apellido|Vocabulario PUCP  
认识|rènshi|conocer|Vocabulario PUCP  
很|hěn|muy|Vocabulario PUCP  
高兴|gāoxìng|contento|Vocabulario PUCP  
也|yě|también|Vocabulario PUCP  
马大为|Mǎ Dàwéi|(nombre personal)|Vocabulario PUCP  
宋华|Sòng Huá|(nombre personal)|Vocabulario PUCP  
他是我的同学。|Tā shì wǒ de tóngxué.|Él es mi compañero de clase.|Ejemplos PUCP  
我喜欢吃面包。|Wǒ xǐhuān chī miànbāo.|Me gusta comer pan.|Ejemplos PUCP  
妈妈喜欢吃饺子。|Māma xǐhuān chī jiǎozi.|A mamá le gustan las empanadillas chinas.|Ejemplos PUCP  
这是汉堡包。|Zhè shì hànbǎobāo.|Esto es una hamburguesa.|Ejemplos PUCP  
王小云是老师。|Wáng Xiǎoyún shì lǎoshī.|Wang Xiaoyun es profesora.|Ejemplos PUCP  
你们好！|Nǐmen hǎo!|¡Hola a todos!|Ejemplos PUCP  
我很高兴认识你。|Wǒ hěn gāoxìng rènshi nǐ.|Estoy muy contento de conocerte.|Ejemplos PUCP  
你是哪国人？|Nǐ shì nǎ guó rén?|¿De qué país eres?|Ejemplos PUCP  
