爱, 我爱妈妈。我爱你。
八, 我有八本书。现在八点。
爸爸, 我爸爸是医生。爸爸，你好！
杯子, 这是一个杯子。我的杯子。
北京, 我在北京。北京很大。
本, 一本书这本书很好。
不, 不是。不好。
不客气, —不客气。A: 谢谢！ B: 不客气！
菜, 中国菜很好吃。我喜欢吃菜。
茶, 请喝茶。这是茶。
吃, 吃饭。你吃什么？
出租车, 坐出租车。出租车来了。
打电话, 我给朋友打电话。我喜欢打电话。
大, 很大。他很大。
的, 我的书这是我的。
点, 三点。一点儿
电脑, 用电脑工作。这是电脑。
电视, 看电视。电视很好。
电影, 看电影。我喜欢看电影。
东西, 这是什么东西？买东西
读, 读书。我读书。
对不起, 对不起，我不知道。对不起，我错了。
多, 很多。很多人。
多少, 多少钱？多少人？
儿子, 我的儿子五岁。他是我儿子。
二, 二个人。二块钱。
饭店, 去饭店吃饭。这是一个饭店。
飞机, 坐飞机去北京。飞机很大。
分钟, 五分钟。三分钟。
高兴, 我很高兴。我很高兴认识你。
个, 一个人一个苹果
工作, 我的工作很好。我在工作。
狗, 我的狗很小。这是狗。
汉语, 学习汉语。我说汉语。
好, 你好！很好
号, 今天是五号。你的号是多少？
喝, 喝水。喝茶
和, 我和他。猫和狗
很, 很好。很小
后面, 在后面。他在后面。
回, 回家。我回家。
会, 我会说汉语。我会做饭。
几, 几个人？几本书？
家, 我的家。我家在北京。
叫, 你叫什么名字？我叫小明。
今天, 今天很好。今天星期一。
九, 九本书。九个人
开, 开门。开车
看, 看书。我看电视。
看见, 我看见你。我看见一本书。
块, 一块钱。十块钱
来, 来中国。他来北京。
老师, 他是老师。我的老师很好。
了, 我来了。我吃了。
冷, 今天很冷。很冷
里, 在房间里。在家里
六, 六个人。六点钟
妈妈, 我妈妈很好。妈妈，我爱你。
吗, 好吗？是吗？
买, 买东西。我买书。
猫, 一只猫。我的猫很小。
没关系, —没关系。A: 对不起。 B: 没关系。
没有, 我没有书。我没有钱。
米饭, 吃米饭。我喜欢米饭。
名字, 你的名字？我的名字是小明。
明天, 明天见。明天很好。
哪, 哪个人？哪本书？
哪儿, 你在哪儿？书店在哪儿？
那, 那个人。那本书
呢, 我呢？书呢？
能, 我能去。你能来吗？
你, 你好。你叫什么名字？
年, 一年。今年
女儿, 我的女儿。她是我女儿。
朋友, 好朋友。他是我的朋友。
漂亮, 很漂亮。她很漂亮。
苹果, 吃苹果。一个苹果
七, 七点。七本书
前面, 在前面。他在前面。
钱, 多少钱？我有钱。
请, 请坐。请喝茶。
去, 去学校。我去北京。
热, 很热。今天很热。
人, 中国人。三个人
认识, 认识你很高兴。我认识他。
三, 三个人。三本书
商店, 去商店。这是一个商店。
上, 在上面。书上
上午, 今天上午。上午八点
少, 很少。人很少
谁, 你是谁？他是谁？
什么, 这是什么？你吃什么？
十, 十个人。十点钟
时候, 什么时候？现在什么时候？
是, 我是学生。他是老师。
书, 一本书。看书
水, 喝水。这是水。
睡觉, 我想睡觉。我睡觉。
说, 说汉语。我说中文。
四, 四个人。四本书
岁, 我二十岁。你几岁？
他, 他是学生。他是我朋友。
她, 她是老师。她很漂亮。
太, 太好了！太大了！
天气, 天气很好。今天天气很好。
听, 听音乐。我听。
同学, 我的同学。他是我的同学。
喂, 喂？喂，你好！
我, 我是学生。我爱北京。
我们, 我们是学生。我们去学校。
五, 五个人。五本书
喜欢, 我喜欢你。我喜欢中国。
下, 在下面。下车
下午, 今天下午。下午三点
下雨, 今天下雨。明天下雨。
先生, 王先生先生，你好！
现在, 现在很好。现在几点？
想, 我想你。我想去中国。
小, 很小。小狗
小姐, 李小姐小姐，你好！
些, 一些书。一些人
写, 写字。我写书。
谢谢, 谢谢你。谢谢老师！
星期, 星期一。今天星期几？
学生, 我是学生。好学生
学习, 学习汉语。学习中文
学校, 去学校。我的学校
一点儿, 一点儿水。一点儿钱
衣服, 买衣服。新衣服
医生, 他是医生。看医生
医院, 去医院。他在医院。
椅子, 一把椅子。这是椅子。
有, 我有书。我有钱。
月, 一个月。月亮
再见, 再见！明天再见！
在, 我在家。书在桌子上。
怎么, 怎么了？怎么写？
怎么样, 你怎么样？这本书怎么样？
这, 这个人。这本书
中国, 在中国。我是中国人。
中午, 今天中午。中午十二点
住, 住在中国。我住在北京。
桌子, 一张桌子。桌子很大。
字, 写字。这个字
昨天, 昨天很好。昨天星期一。
坐, 请坐。我坐。
做, 做饭。做什么？
