chinese|pinyin|spanish|category
你最近怎么样？|Nǐ zuìjìn zěnmeyàng?|¿Cómo estás últimamente?|Oral Exam Sentences
我最近很好，谢谢。你呢？|Wǒ zuìjìn hěn hǎo, xièxie. Nǐ ne?|Yo estoy muy bien, gracias. ¿Y tú?|Oral Exam Sentences
我最近不太忙。|Wǒ zuìjìn bú tài máng.|Últimamente no estoy muy ocupado.|Oral Exam Sentences
他最近很忙。|Tā zuìjìn hěn máng.|Él está muy ocupado últimamente.|Oral Exam Sentences
你今天忙吗？|Nǐ jīntiān máng ma?|¿Estás ocupado hoy?|Oral Exam Sentences
是的，我今天很忙。|Shì de, wǒ jīntiān hěn máng.|Sí, hoy estoy muy ocupado.|Oral Exam Sentences
不，我今天不忙。|Bù, wǒ jīntiān bù máng.|No, hoy no estoy ocupado.|Oral Exam Sentences
她今天非常忙。|Tā jīntiān fēicháng máng.|Ella hoy está muy ocupada.|Oral Exam Sentences
请问，你叫什么名字？|Qǐngwèn, nǐ jiào shénme míngzì?|Disculpa, ¿cómo te llamas?|Oral Exam Sentences
我叫[你的名字]。|Wǒ jiào [nǐ de míngzì].|Me llamo [tu nombre].|Oral Exam Sentences
我的中文名字是[名字]。|Wǒ de Zhōngwén míngzì shì [míngzì].|Mi nombre chino es [nombre].|Oral Exam Sentences
他叫大卫。|Tā jiào Dàwèi.|Él se llama David.|Oral Exam Sentences
请问，你爸爸姓什么？|Qǐngwèn, nǐ bàba xìng shénme?|Disculpa, ¿cuál es el apellido de tu padre?|Oral Exam Sentences
我爸爸姓[姓]。|Wǒ bàba xìng [xìng].|Mi padre se apellida [apellido].|Oral Exam Sentences
他姓王。|Tā xìng Wáng.|Su apellido es Wang.|Oral Exam Sentences
我妈妈姓李。|Wǒ māma xìng Lǐ.|El apellido de mi madre es Li.|Oral Exam Sentences
你妈妈叫林娜吗？|Nǐ māma jiào Lín Nà ma?|¿Tu mamá se llama Lin Na?|Oral Exam Sentences
是的，她叫林娜。|Shì de, tā jiào Lín Nà.|Sí, ella se llama Lin Na.|Oral Exam Sentences
不是，她不叫林娜。她叫[名字]。|Búshì, tā bú jiào Lín Nà. Tā jiào [míngzì].|No, ella no se llama Lin Na. Se llama [nombre].|Oral Exam Sentences
不，我姐姐叫林娜。|Bù, wǒ jiějie jiào Lín Nà.|No, mi hermana mayor se llama Lin Na.|Oral Exam Sentences
我今天很忙，你呢？|Wǒ jīntiān hěn máng, nǐ ne?|Yo hoy estoy muy ocupado, ¿y tú?|Oral Exam Sentences
我也很忙。|Wǒ yě hěn máng.|Yo también estoy muy ocupado.|Oral Exam Sentences
我不忙。|Wǒ bù máng.|Yo no estoy ocupado.|Oral Exam Sentences
他很忙。|Tā hěn máng.|Él está muy ocupado.|Oral Exam Sentences
你外婆最近好吗？|Nǐ wàipó zuìjìn hǎo ma?|¿Tu abuela materna está bien últimamente?|Oral Exam Sentences
她最近很好，谢谢。|Tā zuìjìn hěn hǎo, xièxie.|Ella está muy bien, gracias.|Oral Exam Sentences
谢谢，她很好。|Xièxie, tā hěn hǎo.|Gracias, ella está bien.|Oral Exam Sentences
我外公最近也很好。|Wǒ wàigōng zuìjìn yě hěn hǎo.|Mi abuelo materno también está muy bien.|Oral Exam Sentences
谁是你的朋友？|Shéi shì nǐ de péngyou?|¿Quién es tu amigo?|Oral Exam Sentences
我的好朋友是[名字]。|Wǒ de hǎo péngyou shì [míngzì].|Mi buen amigo es [nombre].|Oral Exam Sentences
他们是我的朋友。|Tāmen shì wǒ de péngyou.|Ellos son mis amigos.|Oral Exam Sentences
她是我的好朋友。|Tā shì wǒ de hǎo péngyou.|Ella es mi buena amiga.|Oral Exam Sentences
