chinese|pinyin|spanish|category
林娜，你明天做什么？|Lín Nà, nǐ míngtiān zuò shénme?|Lina, ¿qué vas a hacer mañana?|Dialog Page 113-114
我明天有很多课，特别忙。|Wǒ míngtiān yǒu hěn duō kè, tèbié máng.|Mañana tengo muchas clases, estoy muy ocupada.|Dialog Page 113-114
你明天几点有课？|Nǐ míngtiān jǐ diǎn yǒu kè?|¿A qué hora tienes clase mañana?|Dialog Page 113-114
我明天上午八点半有语法课，十点四十有汉字课，下午两点一刻还有口语课。|Wǒ míngtiān shàngwǔ bā diǎn bàn yǒu yǔfǎ kè, shí diǎn sìshí yǒu Hànzì kè, xiàwǔ liǎng diǎn yí kè hái yǒu kǒuyǔ kè.|Mañana por la mañana tengo clase de gramática a las 8:30, clase de caracteres chinos a las 10:40, y a las 2:15 de la tarde también tengo clase de expresión oral.|Dialog Page 113-114
你累不累？|Nǐ lèi bu lèi?|¿Estás cansada o no?|Dialog Page 113-114
不累。对了，你明天晚上有没有时间？|Bú lèi. Duìle, nǐ míngtiān wǎnshang yǒu méiyǒu shíjiān?|No estoy cansada. Por cierto, ¿tienes tiempo mañana por la noche?|Dialog Page 113-114
有时间，有时间。明天晚上有一个好电影，你看不看？我们一起去吧。|Yǒu shíjiān, yǒu shíjiān. Míngtiān wǎnshang yǒu yí gè hǎo diànyǐng, nǐ kàn bu kàn? Wǒmen yìqǐ qù ba.|Sí tengo tiempo, sí tengo. Mañana por la noche hay una buena película, ¿la quieres ver? Vamos juntos.|Dialog Page 113-114
是不是《再见》？|Shì bu shì 《Zàijiàn》?|¿Es la película "Adiós" (Goodbye)?|Dialog Page 113-114
是啊。我们一起去吧。|Shì a. Wǒmen yìqǐ qù ba.|Sí. Vamos juntos.|Dialog Page 113-114
恐怕不行。我们一起练习口语吧。|Kǒngpà bùxíng. Wǒmen yìqǐ liànxí kǒuyǔ ba.|Me temo que no puedo. Mejor practiquemos expresión oral juntos.|Dialog Page 113-114
