chinese,pinyin,spanish,category
我想吃,wǒ xiǎng chī,Yo quiero comer,Pronombre + verbo
我饿了,wǒ è le,Yo tengo hambre,Pronombre + verbo
你要喝,nǐ yào hē,Tú quieres beber,Pronombre + verbo
他喜欢,tā xǐ huān,A él le gusta,Pronombre + verbo
她需要,tā xū yào,Ella necesita,Pronombre + verbo
我们学习,wǒ men xué xí,Nosotros estudiamos,Pronombre + verbo
你们工作,nǐ men gōng zuò,Vosotros trabajáis,Pronombre + verbo
他们去,tā men qù,Ellos van,Pronombre + verbo
我可以,wǒ kě yǐ,Yo puedo (verbo auxiliar),Pronombre + verbo
你应该,nǐ yīng gāi,Tú deberías (verbo auxiliar),Pronombre + verbo
我们必须,wǒ men bì xū,Nosotros debemos (verbo auxiliar),Pronombre + verbo
我会说,wǒ huì shuō,Yo sé hablar (verbo auxiliar),Pronombre + verbo
你要去吗？,nǐ yào qù ma?,¿Tú quieres ir?,Pronombre + verbo
我能帮忙,wǒ néng bāng máng,Yo puedo ayudar (verbo auxiliar),Pronombre + verbo
她在睡觉,tā zài shuì jiào,Ella está durmiendo (verbo progresivo),Pronombre + verbo
我们在吃饭,wǒ men zài chī fàn,Nosotros estamos comiendo (verbo progresivo),Pronombre + verbo
你要买什么？,nǐ yào mǎi shén me?,¿Qué quieres comprar?,Pronombre + verbo
他们想旅行,tā men xiǎng lǚ xíng,Ellos quieren viajar,Pronombre + verbo
我爱中国,wǒ ài zhōng guó,Yo amo China,Pronombre + verbo
你明白吗？,nǐ míng bai ma?,¿Tú entiendes?,Pronombre + verbo
