chinese|pinyin|spanish|category
四点三十二分|Sì diǎn sānshí'èr fēn|Cuatro horas treinta y dos minutos|Time sentences
四点三十二|Sì diǎn sānshí'èr|Cuatro treinta y dos|Time sentences
差二十八分五点|Chà èrshíbā fēn wǔ diǎn|Faltan veintiocho para las cinco|Time sentences
一点二十三分|Yī diǎn èrshísān fēn|Una hora veintitrés minutos|Time sentences
一点二十三|Yī diǎn èrshísān|Una veintitrés|Time sentences
九点五十六分|Jiǔ diǎn wǔshíliù fēn|Nueve horas cincuenta y seis minutos|Time sentences
九点五十六|Jiǔ diǎn wǔshíliù|Nueve cincuenta y seis|Time sentences
差四分十点|Chà sì fēn shí diǎn|Faltan cuatro para las diez|Time sentences
两点三十分|Liǎng diǎn sānshí fēn|Dos horas treinta minutos|Time sentences
两点半|Liǎng diǎn bàn|Dos y media|Time sentences
十一点四十九分|Shíyī diǎn sìshíjiǔ fēn|Once horas cuarenta y nueve minutos|Time sentences
十一点四十九|Shíyī diǎn sìshíjiǔ|Once cuarenta y nueve|Time sentences
差十一分十二点|Chà shíyī fēn shí'èr diǎn|Faltan once para las doce|Time sentences
七点十五分|Qī diǎn shíwǔ fēn|Siete horas quince minutos|Time sentences
七点十五|Qī diǎn shíwǔ|Siete quince|Time sentences
七点一刻|Qī diǎn yī kè|Siete y cuarto|Time sentences
十二点四十五分|Shí'èr diǎn sìshíwǔ fēn|Doce horas cuarenta y cinco minutos|Time sentences
十二点四十五|Shí'èr diǎn sìshíwǔ|Doce cuarenta y cinco|Time sentences
差一刻一点|Chà yī kè yī diǎn|Falta un cuarto para la una|Time sentences
十二点三刻|Shí'èr diǎn sān kè|Doce y tres cuartos|Time sentences
两点零六分|Liǎng diǎn líng liù fēn|Dos horas y seis minutos|Time sentences
两点零六|Liǎng diǎn líng liù|Dos y seis|Time sentences
